ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID
1007_s_at	discoidin domain receptor family; member 1	DDR1	780
1053_at	replication factor C (activator 1) 2; 40kDa	RFC2	5982
117_at	heat shock 70kDa protein 6 (HSP70B')	HSPA6	3310
121_at	paired box gene 8	PAX8	7849
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A	2978
1294_at	ubiquitin-activating enzyme E1-like	UBE1L	7318
1316_at	thyroid hormone receptor; alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog; avian)	THRA	7067
1320_at	protein tyrosine phosphatase; non-receptor type 21	PTPN21	11099
1405_i_at	chemokine (C-C motif) ligand 5	CCL5	6352
1431_at	cytochrome P450; family 2; subfamily E; polypeptide 1	CYP2E1	1571
1438_at	EPH receptor B3	EPHB3	2049
1487_at	estrogen-related receptor alpha	ESRRA	2101
1494_f_at	cytochrome P450; family 2; subfamily A; polypeptide 6	CYP2A6	1548
1598_g_at	growth arrest-specific 6	GAS6	2621
160020_at	matrix metallopeptidase 14 (membrane-inserted)	MMP14	4323
1729_at	TNFRSF1A-associated via death domain	TRADD	8717
1773_at	farnesyltransferase; CAAX box; beta	FNTB	2342
177_at	phospholipase D1; phosphatidylcholine-specific	PLD1	5337
179_at	postmeiotic segregation increased 2-like 11	PMS2L11	441263
1861_at	BCL2-antagonist of cell death	BAD	572
200000_s_at	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae) /// PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8	10594
200001_at	calpain; small subunit 1 /// calpain; small subunit 1	CAPNS1	826
200002_at	ribosomal protein L35 /// ribosomal protein L35	RPL35	11224
200003_s_at	ribosomal protein L28 /// ribosomal protein L28	RPL28	6158
200004_at	eukaryotic translation initiation factor 4 gamma; 2 /// eukaryotic translation initiation factor 4 gamma; 2	EIF4G2	1982
200005_at	eukaryotic translation initiation factor 3; subunit 7 zeta; 66/67kDa /// eukaryotic translation initiation factor 3; subunit 7 zeta; 66/67kDa	EIF3S7	8664
200006_at	Parkinson disease (autosomal recessive; early onset) 7 /// Parkinson disease (autosomal recessive; early onset) 7	PARK7	11315
200007_at	signal recognition particle 14kDa (homologous Alu RNA binding protein) /// signal recognition particle 14kDa (homologous Alu RNA binding protein)	SRP14	6727
200008_s_at	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	GDI2	2665
200009_at	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	GDI2	2665
200010_at	Ribosomal protein L11 /// Ribosomal protein L11	RPL11	6135
200011_s_at	ADP-ribosylation factor 3 /// ADP-ribosylation factor 3	ARF3	377
200012_x_at	ribosomal protein L21 /// ribosomal protein L21 /// similar to ribosomal protein L21 /// similar to ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar to 60S ribosomal protein L21	RPL21 /// LOC653737 /// LOC728501 /// LOC729402 /// LOC730700 /// LOC731567	6144 /// 653737 /// 728501 /// 729402 /// 730700 /// 731567
200013_at	ribosomal protein L24 /// ribosomal protein L24	RPL24	6152
200014_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2) /// heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	3183
200015_s_at	septin 2 /// septin 2	SEPT2	4735
200016_x_at	heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1	HNRPA1	3178
200017_at	ribosomal protein S27a /// ribosomal protein S27a	RPS27A	6233
200018_at	ribosomal protein S13 /// ribosomal protein S13	RPS13	6207
200019_s_at	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	FAU	2197
200020_at	TAR DNA binding protein /// TAR DNA binding protein	TARDBP	23435
200021_at	cofilin 1 (non-muscle) /// cofilin 1 (non-muscle)	CFL1	1072
200022_at	ribosomal protein L18 /// ribosomal protein L18	RPL18	6141
200023_s_at	eukaryotic translation initiation factor 3; subunit 5 epsilon; 47kDa /// eukaryotic translation initiation factor 3; subunit 5 epsilon; 47kDa	EIF3S5	8665
200024_at	ribosomal protein S5 /// ribosomal protein S5 /// similar to ribosomal protein S5 /// similar to ribosomal protein S5	RPS5 /// LOC392424	392424 /// 6193
