ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID
1007_s_at	discoidin domain receptor tyrosine kinase 1 /// microRNA 4640	DDR1 /// MIR4640	780 /// 100616237
1053_at	replication factor C (activator 1) 2; 40kDa	RFC2	5982
117_at	heat shock 70kDa protein 6 (HSP70B')	HSPA6	3310
121_at	paired box 8	PAX8	7849
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A	2978
1294_at	microRNA 5193 /// ubiquitin-like modifier activating enzyme 7	MIR5193 /// UBA7	7318 /// 100847079
1316_at	thyroid hormone receptor; alpha	THRA	7067
1320_at	protein tyrosine phosphatase; non-receptor type 21	PTPN21	11099
1405_i_at	chemokine (C-C motif) ligand 5	CCL5	6352
1431_at	cytochrome P450; family 2; subfamily E; polypeptide 1	CYP2E1	1571
1438_at	EPH receptor B3	EPHB3	2049
1487_at	estrogen-related receptor alpha	ESRRA	2101
1494_f_at	cytochrome P450; family 2; subfamily A; polypeptide 6	CYP2A6	1548
1598_g_at	growth arrest-specific 6	GAS6	2621
160020_at	matrix metallopeptidase 14 (membrane-inserted)	MMP14	4323
1729_at	TNFRSF1A-associated via death domain	TRADD	8717
1773_at	CHURC1-FNTB readthrough /// farnesyltransferase; CAAX box; beta	CHURC1-FNTB /// FNTB	2342 /// 100529261
177_at	phospholipase D1; phosphatidylcholine-specific	PLD1	5337
179_at	DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene	DTX2P1-UPK3BP1-PMS2P11	441263
1861_at	BCL2-associated agonist of cell death	BAD	572
200000_s_at	pre-mRNA processing factor 8	PRPF8	10594
200001_at	calpain; small subunit 1	CAPNS1	826
200002_at	ribosomal protein L35	RPL35	11224
200003_s_at	microRNA 6805 /// ribosomal protein L28	MIR6805 /// RPL28	6158 /// 102465483
200004_at	eukaryotic translation initiation factor 4 gamma; 2	EIF4G2	1982
200005_at	eukaryotic translation initiation factor 3; subunit D	EIF3D	8664
200006_at	parkinson protein 7	PARK7	11315
200007_at	signal recognition particle 14kDa (homologous Alu RNA binding protein)	SRP14	6727
200008_s_at	GDP dissociation inhibitor 2	GDI2	2665
200009_at	GDP dissociation inhibitor 2	GDI2	2665
200010_at	ribosomal protein L11	RPL11	6135
200011_s_at	ADP-ribosylation factor 3	ARF3	377
200012_x_at	ribosomal protein L21 /// ribosomal protein L21 pseudogene 28 /// small nucleolar RNA; H/ACA box 27 /// small nucleolar RNA; C/D box 102	RPL21 /// RPL21P28 /// SNORA27 /// SNORD102	6144 /// 26771 /// 619499 /// 100131205
200013_at	ribosomal protein L24	RPL24	6152
200014_s_at	heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRNPC	3183
200015_s_at	septin 2	SEPT2	4735
200016_x_at	heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 10	HNRNPA1 /// HNRNPA1P10	3178 /// 664709
200017_at	ribosomal protein S27a	RPS27A	6233
200018_at	uncharacterized LOC100508408 /// ribosomal protein S13 /// small nucleolar RNA; C/D box 14B	LOC100508408 /// RPS13 /// SNORD14B	6207 /// 85388 /// 100508408
200019_s_at	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed	FAU	2197
200020_at	TAR DNA binding protein	TARDBP	23435
200021_at	cofilin 1 (non-muscle)	CFL1	1072
200022_at	ribosomal protein L18	RPL18	6141
200023_s_at	eukaryotic translation initiation factor 3; subunit F	EIF3F	8665
200024_at	ribosomal protein S5	RPS5	6193
200025_s_at	ribosomal protein L27	RPL27	6155
200026_at	ribosomal protein L34	RPL34	6164
200027_at	asparaginyl-tRNA synthetase	NARS	4677
200028_s_at	StAR-related lipid transfer (START) domain containing 7	STARD7	56910
200029_at	ribosomal protein L19	RPL19	6143
200030_s_at	solute carrier family 25 (mitochondrial carrier; phosphate carrier); member 3	SLC25A3	5250
200031_s_at	ribosomal protein S11 /// small nucleolar RNA; C/D box 35B	RPS11 /// SNORD35B	6205 /// 84546
200032_s_at	ribosomal protein L9	RPL9	6133
200033_at	DEAD (Asp-Glu-Ala-Asp) box helicase 5 /// microRNA 3064 /// microRNA 5047	DDX5 /// MIR3064 /// MIR5047	1655 /// 100616387 /// 100616408
200034_s_at	ribosomal protein L6	RPL6	6128
200035_at	CTD nuclear envelope phosphatase 1	CTDNEP1	23399
200036_s_at	ribosomal protein L10a	RPL10A	4736
200037_s_at	chromobox homolog 3	CBX3	11335
200038_s_at	chromosome 18 open reading frame 32 /// ribosomal protein L17 /// RPL17-C18orf32 readthrough /// small nucleolar RNA; C/D box 58A /// small nucleolar RNA; C/D box 58B /// small nucleolar RNA; C/D box 58C	C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C	6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842
200039_s_at	proteasome (prosome; macropain) subunit; beta type; 2	PSMB2	5690
200040_at	KH domain containing; RNA binding; signal transduction associated 1	KHDRBS1	10657
200041_s_at	ATP6V1G2-DDX39B readthrough (NMD candidate) /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B /// small nucleolar RNA; C/D box 84	ATP6V1G2-DDX39B /// DDX39B /// SNORD84	7919 /// 692199 /// 100532737
200042_at	RNA 2';3'-cyclic phosphate and 5'-OH ligase	RTCB	51493
200043_at	enhancer of rudimentary homolog (Drosophila)	ERH	2079
200044_at	glutamyl-tRNA(Gln) amidotransferase; subunit C /// serine/arginine-rich splicing factor 9	GATC /// SRSF9	8683 /// 283459
200045_at	ATP-binding cassette; sub-family F (GCN20); member 1	ABCF1	23
200046_at	defender against cell death 1	DAD1	1603
200047_s_at	YY1 transcription factor	YY1	7528
200048_s_at	jumping translocation breakpoint	JTB	10899
200049_at	K(lysine) acetyltransferase 7	KAT7	11143
200050_at	zinc finger protein 146	ZNF146	7705
200051_at	squamous cell carcinoma antigen recognized by T cells	SART1	9092
200052_s_at	interleukin enhancer binding factor 2	ILF2	3608
200053_at	sperm associated antigen 7	SPAG7	9552
200054_at	ZPR1 zinc finger	ZPR1	8882
200055_at	TAF10 RNA polymerase II; TATA box binding protein (TBP)-associated factor; 30kDa	TAF10	6881
200056_s_at	C1D nuclear receptor corepressor	C1D	10438
200057_s_at	non-POU domain containing; octamer-binding	NONO	4841
200058_s_at	U5 small nuclear ribonucleoprotein 200 kDa helicase-like /// small nuclear ribonucleoprotein 200kDa (U5)	LOC101929240 /// SNRNP200	23020 /// 101929240
200059_s_at	ras homolog family member A	RHOA	387
200060_s_at	RNA binding protein S1; serine-rich domain	RNPS1	10921
200061_s_at	ribosomal protein S24	RPS24	6229
200062_s_at	ribosomal protein L30	RPL30	6156
200063_s_at	nucleophosmin (nucleolar phosphoprotein B23; numatrin)	NPM1	4869
200064_at	heat shock protein 90kDa alpha (cytosolic); class B member 1	HSP90AB1	3326
200065_s_at	ADP-ribosylation factor 1 /// microRNA 3620	ARF1 /// MIR3620	375 /// 100500810
200066_at	IK cytokine; down-regulator of HLA II	IK	3550
200067_x_at	sorting nexin 3	SNX3	8724
200068_s_at	calnexin	CANX	821
200069_at	squamous cell carcinoma antigen recognized by T cells 3	SART3	9733
200070_at	cyclin Pas1/PHO80 domain containing 1	CNPPD1	27013
200071_at	survival motor neuron domain containing 1	SMNDC1	10285
200072_s_at	heterogeneous nuclear ribonucleoprotein M	HNRNPM	4670
200073_s_at	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1; 37kDa)	HNRNPD	3184
200074_s_at	ribosomal protein L14	RPL14	9045
200075_s_at	guanylate kinase 1	GUK1	2987
200076_s_at	KxDL motif containing 1	KXD1	79036
200077_s_at	ornithine decarboxylase antizyme 1	OAZ1	4946
200078_s_at	ATPase; H+ transporting; lysosomal 21kDa; V0 subunit b	ATP6V0B	533
200079_s_at	lysyl-tRNA synthetase	KARS	3735
200080_s_at	H3 histone; family 3A /// H3 histone; family 3A; pseudogene 4 /// H3 histone; family 3B (H3.3B)	H3F3A /// H3F3AP4 /// H3F3B	3020 /// 3021 /// 440926
200081_s_at	ribosomal protein S6	RPS6	6194
200082_s_at	ribosomal protein S7	RPS7	6201
200083_at	ubiquitin specific peptidase 22	USP22	23326
200084_at	chromosome 11 open reading frame 58	C11orf58	10944
200085_s_at	transcription elongation factor B (SIII); polypeptide 2 (18kDa; elongin B)	TCEB2	6923
200086_s_at	cytochrome c oxidase subunit IV isoform 1	COX4I1	1327
200087_s_at	transmembrane emp24 domain trafficking protein 2	TMED2	10959
200088_x_at	neurobeachin-like 1 /// ribosomal protein L12	NBEAL1 /// RPL12	6136 /// 65065
200089_s_at	ribosomal protein L4 /// small nucleolar RNA; C/D box 16 /// small nucleolar RNA; C/D box 18A /// small nucleolar RNA; C/D box 18B /// small nucleolar RNA; C/D box 18C	RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C	6124 /// 595097 /// 595098 /// 595099 /// 595100
200090_at	farnesyltransferase; CAAX box; alpha	FNTA	2339
200091_s_at	ribosomal protein S25	RPS25	6230
200092_s_at	ribosomal protein L37	RPL37	6167
200093_s_at	histidine triad nucleotide binding protein 1	HINT1	3094
200094_s_at	eukaryotic translation elongation factor 2	EEF2	1938
200095_x_at	ribosomal protein S10	RPS10	6204
200096_s_at	ATPase; H+ transporting; lysosomal 9kDa; V0 subunit e1	ATP6V0E1	8992
200097_s_at	heterogeneous nuclear ribonucleoprotein K	HNRNPK	3190
200098_s_at	anaphase promoting complex subunit 5	ANAPC5	51433
200099_s_at	ribosomal protein S3A /// small nucleolar RNA; C/D box 73A	RPS3A /// SNORD73A	6189 /// 8944
200593_s_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRNPU	3192
200594_x_at	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRNPU	3192
200595_s_at	eukaryotic translation initiation factor 3; subunit A	EIF3A	8661
200596_s_at	eukaryotic translation initiation factor 3; subunit A	EIF3A	8661
200597_at	eukaryotic translation initiation factor 3; subunit A	EIF3A	8661
200598_s_at	heat shock protein 90kDa beta (Grp94); member 1 /// microRNA 3652	HSP90B1 /// MIR3652	7184 /// 100500842
200599_s_at	heat shock protein 90kDa beta (Grp94); member 1 /// microRNA 3652	HSP90B1 /// MIR3652	7184 /// 100500842
200600_at	moesin	MSN	4478
200601_at	actinin; alpha 4	ACTN4	81
200602_at	amyloid beta (A4) precursor protein	APP	351
200603_at	protein kinase; cAMP-dependent; regulatory; type I; alpha	PRKAR1A	5573
200604_s_at	protein kinase; cAMP-dependent; regulatory; type I; alpha	PRKAR1A	5573
200605_s_at	protein kinase; cAMP-dependent; regulatory; type I; alpha	PRKAR1A	5573
200606_at	desmoplakin	DSP	1832
200607_s_at	RAD21 homolog (S. pombe)	RAD21	5885
200608_s_at	RAD21 homolog (S. pombe)	RAD21	5885
200609_s_at	WD repeat domain 1	WDR1	9948
200610_s_at	nucleolin	NCL	4691
200611_s_at	WD repeat domain 1	WDR1	9948
200612_s_at	adaptor-related protein complex 2; beta 1 subunit	AP2B1	163
200613_at	adaptor-related protein complex 2; mu 1 subunit	AP2M1	1173
200614_at	clathrin; heavy chain (Hc)	CLTC	1213
200615_s_at	adaptor-related protein complex 2; beta 1 subunit	AP2B1	163
200616_s_at	malectin	MLEC	9761
200617_at	malectin	MLEC	9761
200618_at	LIM and SH3 protein 1	LASP1	3927
200619_at	splicing factor 3b; subunit 2; 145kDa	SF3B2	10992
200620_at	transmembrane protein 59	TMEM59	9528
200621_at	cysteine and glycine-rich protein 1	CSRP1	1465
200622_x_at	calmodulin 1 (phosphorylase kinase; delta) /// calmodulin 2 (phosphorylase kinase; delta) /// calmodulin 3 (phosphorylase kinase; delta)	CALM1 /// CALM2 /// CALM3	801 /// 805 /// 808
